City,AQI
Kolkata,190
Lucknow,182
Patna,181
Varanasi,178
Delhi,169
Raipur,161
Pune,160
Visakhapatnam,159
Surat,158
Nashik,156
Mumbai,156
Agra,155
Indore,155
Guwahati,153
Nagpur,150
Bhopal,145
Hyderabad,135
Kochi,129
Jaipur,128
Ahmedabad,109
Chennai,92
Chandigarh,88
Bengaluru,81
